,name,link,total,failed,%
16006@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Котласский педагогический колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16006@egOrganization,0,0,100.00%
16018@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Котласский техникум торговли и общественного питания»,https://gosuslugi29.ru/pgu/department/info.htm?id=16018@egOrganization,0,0,100.00%
16030@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Котласский транспортный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16030@egOrganization,0,0,100.00%
16010@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Мирнинский промышленно-экономический техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16010@egOrganization,0,0,100.00%
16026@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Плесецкий торгово- промышленный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16026@egOrganization,0,0,100.00%
16008@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Техникум строительства и городского хозяйства»,https://gosuslugi29.ru/pgu/department/info.htm?id=16008@egOrganization,0,0,100.00%
16016@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Техникум технологии и дизайна»,https://gosuslugi29.ru/pgu/department/info.htm?id=16016@egOrganization,0,0,100.00%
16036@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Шипицынский агропромышленный техникум»,https://gosuslugi29.ru/pgu/department/info.htm?id=16036@egOrganization,0,0,100.00%
15942@egOrganization,Архангельское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15942@egOrganization,0,0,100.00%
15943@egOrganization,Березниковское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15943@egOrganization,0,0,100.00%
15944@egOrganization,Вельское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15944@egOrganization,0,0,100.00%
15945@egOrganization,Верхнетоемское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15945@egOrganization,0,0,100.00%
15946@egOrganization,Вилегодское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15946@egOrganization,0,0,100.00%
22439@egOrganization,Государственное  казенное учреждение Архангельской области «Обозерское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22439@egOrganization,0,0,100.00%
22427@egOrganization,"Государственное казенное учреждение Архангельской области ""Вилегодское лесничество""",https://gosuslugi29.ru/pgu/department/info.htm?id=22427@egOrganization,0,0,100.00%
22452@egOrganization,"Государственное казенное учреждение Архангельской области ""Лешуконское
 лесничество""",https://gosuslugi29.ru/pgu/department/info.htm?id=22452@egOrganization,0,0,100.00%
22430@egOrganization,"Государственное казенное учреждение Архангельской области ""Онежское лесничество""",https://gosuslugi29.ru/pgu/department/info.htm?id=22430@egOrganization,0,0,100.00%
22426@egOrganization,"Государственное казенное учреждение Архангельской области ""Яренское лесничество""",https://gosuslugi29.ru/pgu/department/info.htm?id=22426@egOrganization,0,0,100.00%
22447@egOrganization,Государственное казенное учреждение Архангельской области «Архангельское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22447@egOrganization,0,0,100.00%
22444@egOrganization,Государственное казенное учреждение Архангельской области «Березниковское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22444@egOrganization,0,0,100.00%
22431@egOrganization,Государственное казенное учреждение Архангельской области «Вельское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22431@egOrganization,0,0,100.00%
22451@egOrganization,Государственное казенное учреждение Архангельской области «Верхнетоемское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22451@egOrganization,0,0,100.00%
22453@egOrganization,Государственное казенное учреждение Архангельской области «Выйское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22453@egOrganization,0,0,100.00%
22429@egOrganization,Государственное казенное учреждение Архангельской области «Емецкое и Сийское лесничества»,https://gosuslugi29.ru/pgu/department/info.htm?id=22429@egOrganization,0,0,100.00%
22432@egOrganization,Государственное казенное учреждение Архангельской области «Карпогорское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22432@egOrganization,0,0,100.00%
22428@egOrganization,Государственное казенное учреждение Архангельской области «Коношское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22428@egOrganization,0,0,100.00%
22436@egOrganization,Государственное казенное учреждение Архангельской области «Котласское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22436@egOrganization,0,0,100.00%
22434@egOrganization,Государственное казенное учреждение Архангельской области «Красноборское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22434@egOrganization,0,0,100.00%
22433@egOrganization,Государственное казенное учреждение Архангельской области «Мезенское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22433@egOrganization,0,0,100.00%
22448@egOrganization,Государственное казенное учреждение Архангельской области «Няндомское лесничество»,https://gosuslugi29.ru/pgu/department/info.htm?id=22448@egOrganization,0,0,100.00%
